shop_name,name,productId
4men-vn,"Quần kaki nam trơn đẹp 4MEN QK004 kiểu dáng dài, form slimfit tôn dáng, vải kaki dày dặn, co giãn thoáng mát",QK004
4men-vn,"Áo Thun Nam 4MEN Wash Loose 4:4 AT121 cổ tròn ngắn tay, vải cotton dày dặn, thấm mồ hôi, thoáng mát, co giãn, cá tính",AT121
4men-vn,"Áo thun nam cổ tròn 4MEN AT029 ngắn tay, in chữ MINIMALIST, vải cotton dày dặn, thấm mồ hôi, co gãn, thoáng mát",AT029
4men-vn,"Áo thun nam ngắn tay 4MEN AT060 cổ tròn, form regular, vải cotton co giãn, thấm mồ hôi, thoáng mát, tối giản",AT060
4men-vn,"Áo thun nam cổ tròn 4MEN AT071 in chữ Energy ngắn tay, vải cotton mềm mịn, thấm mồ hôi, thoáng mát, ít nhăn, trẻ trung và dễ phối đồ",AT071
4men-vn,"Áo Khoác Nam Jeans Regular Minimalism 4MEN AK048 cá tính, phong cách, chống nắng, bền màu đẹp, hiện đại",AK048
4men-vn,"Áo Sơ Mi Nam Trơn Dài Tay Cổ Đức 4MEN Oxford Thêu Chữ SM089 Form Regular Suông, Dày Dặn, vải dày dặn, bền đẹp, thấm mồ hôi",SM089
4men-vn,"Áo thun dài tay nam trơn 4MEN AT061 cổ tròn, form sweater suông, xẻ lai trẻ trung, vải len cotton đẹp, dày dặn",AT061
4men-vn,"Áo khoác Nam Loose Nhung Tăm 4MEN AK039 cổ tròn tay dài basic, bo cổ tay, khóa kéo tiện lợi, chất vải mềm mại, dày dặn",AK039
4men-vn,"Quần Jeans Slimfit Basic 4MEN QJ062 eo bản thấp, vải denim mềm mại, co giãn thoải mái, phong cách trẻ trung, hiện đại",QJ062
4men-vn,"Áo thun nam cổ tròn 4MEN AT076 form suông ngắn tay in họa tiết graphic tinh tế, vải cotton 4 chiều, thoáng mát",AT076
4men-vn,"Áo thun nam in chữ 4MEN AT087 cổ tròn, ngắn tay, form suông, vải cotton dày dặn, thoáng mát, co giãn, trẻ trung",AT087
4men-vn,"Quần jeans nam xanh đen trơn basic 4MEN QJ063 vải denim dày dặn, bền đẹp, co giãn, form Slimfit tôn dáng, trẻ trung",QJ063
4men-vn,"Ví Da Dáng Đứng 4MEN BV044 mềm mại, kiểu dáng trẻ trung, nhiều ngăn đựng tiền, đựng thẻ tiện dùng, bền màu",BV044
4men-vn,"Quần Jeans Xanh Regular Phối Dây Viền 4MEN QJ074, vải cotton mềm mại kết hợp spandex co giãn, thoải mái và thoáng khí",QJ074
4men-vn,"Ví Da Nam Dáng Ngang 4MEN BV030 free size màu đen, nâu thanh lịch, sang trọng, nhiều ngăn tiện lợi, nhỏ gọn",BV030
4men-vn,"Áo Khoác Nam Phối Dây Sọc 4MEN AK021 thể thao, cổ đứng, form regular suông thoải mái, vải nỉ mỏng thấm mồ hôi",AK021
4men-vn,"Vớ nam cổ ngắn 4MEN VO062 trơn vải cotton nhiều màu đẹp, co giãn, thoáng khí, thấm hút mồ hôi, khử mùi",VO062
4men-vn,"Vớ cổ ngắn 4MEN VN038 trơn vải cotton thấm hút mồ hôi, nhiều màu đẹp, co giãn, thoáng khí",VN038
4men-vn,"Áo polo nam trơn đẹp 4MEN PO062 in hình nhiều màu sắc trẻ trυng, cổ trụ, form suông dễ mặc",PO062
4men-vn,"Áo Thun Nam Tay Ngắn Form Regular Horse Race 4MEN AT074 cổ tròn, dáng suông, vải cotton thoáng mát, mềm mịn",AT074
4men-vn,"Áo Thun Nam 4MEN AT084 in Racing thiết kế cổ tròn, tay ngắn basic, vải cotton mềm mại, thoáng mát, co giãn thoải mái",AT084
4men-vn,"Áo Polo Nam Phối Sọc Ngang Form Slimfit 4MEN PO104 vải tổ ong thoáng khí, thấm mồ hôi, co giãn thoải mái, thanh lịch",PO104
4men-vn,"Áo Thun Nam 4MEN AT075 cổ tròn, ngắn tay, vải cotton in hình trước và chữ sau lưng, màu sắc tươi trẻ, form suông thoải m",AT075
4men-vn,"Áo Polo Nam Vải Tổ Ong Cổ Dệt Form Slimfit 4MEN PO109 mềm mại, thấm mồ hôi, thoáng mát, trẻ trυng, thanh lịch",PO109
4men-vn,"Áo Polo Mắt Chim In Smile Flower Form Slimfit 4MEN PO113 cổ bẻ, tay bo mềm mại, vải co giãn thoải mái, thấm mồ hôi",PO113
4men-vn,"Áo Polo Nam Mắt Chim In Ombre Wave Form Slimfit 4MEN PO108 ôm body, tôn dáng, vải mềm mịn, co giãn thoải mái, trẻ trυng",PO108
4men-vn,"Áo Polo Nam In Slimfit Hình Lục Giác 4MEN PO102 cổ đứng phối viền, vải cá sấu mềm mại, thấm mồ hôi, thoáng mát, co giãn",PO102
4men-vn,"Áo Polo Nam Slimfit Túi Phối Sọc 4MEN PO089 thun cổ bẻ, tay ngắn phối viền basic, vải cá sấu thấm mồ hôi, co giãn tốt",PO089
4men-vn,"Áo Polo Slimfit Phi Hành Gia 4MEN PO078 cổ bẻ tay ngắn, vải cá sấu dày dặn, mềm mại và co giãn tốt",PO078
4men-vn,"Áo Thun Nam Slimfit 4MEN AT101 Limited Edition cổ tròn tay ngắn, vải cotton co giãn 4 chiều, thoáng mát, form basic",AT101
4men-vn,"Áo Thun Nam Form Regular Future 4MEN AT091 cổ tròn tay ngắn hiện đại, đẹp, vải cotton thoáng mát",AT091
4men-vn,"Áo Thun Nam Regular Masculine 4MEN AT120 cổ tròn, Tshirt ngắn tay, thấm mồ hôi, thoáng mát, mềm mại, trẻ trυng",AT120
4men-vn,"Áo Thun Nam Regular Geometric 4MEN AT110 cổ tròn tay ngắn, phối màu tinh tế, trẻ trυng, vải cotton thoáng mát, mềm mại",AT110
4men-vn,"Áo Thun Nam Cổ Trụ Thêu Form Slimfit 4MEN AT128 tôn dáng, vải mềm mịn, co giãn, thấm mồ hôi, thoáng mát, trẻ trυng",AT128
4men-vn,"Áo Thun Nam Slimfit Fox 4MEN AT115 cổ tròn tay ngắn, thêu họa tiết, vải cotton thoáng mát, mềm mại, co giãn 4 chiều",AT115
4men-vn,"Áo Polo Slimfit Bo Sọc Kiểu 4MEN PO092 ngắn tay, có cổ bẻ, vải thun cotton mềm mại, co giãn, thoáng mát",PO092
4men-vn,"Áo Polo Nam Form Regular Len Sọc Dệt Kim 4MEN PO088 tay ngắn cổ bẻ basic, vải mềm mại, cho giãn và thấm mồ hôi tốt",PO088
4men-vn,"Áo Thun Regular PaPa 4MEN AT093 cổ tròn tay ngắn đẹp, chất liệu cotton thoáng mát, co giãn thoải mái",AT093
4men-vn,"Áo Thun Nam CVC Regular Elegant 4MEN AT118 cổ tròn, tay ngắn, basic, in họa tiết đẹp, trẻ trυng, mềm mại, thấm mồ hôi",AT118
4men-vn,"Áo Thun Nam 4MEN AT073 cổ tròn, tay ngắn, in chữ ngay ngực, dáng suông thoải mái, nhiều màu dễ phối đồ",AT073
4men-vn,"Áo Thun Nam Form Regular Dad Cooler 4MEN AT094 cổ tròn, tay ngắn, vải cotton thoáng mát, co giãn 2 chiều, trẻ trυng",AT094
4men-vn,"Áo Thun Nam Slimfit Faithfunlness 4MEN AT100 vải cotton thoáng mát, co giãn 4 chiều, form dám ôm gọn, mềm mịn, trẻ trυng",AT100
4men-vn,"Áo Thun Nam 4MEN AT083 cổ tròn, tay ngắn basic In hình gấᴜ, dáng suông thoải mái, vải cotton thoáng mát, thấm mồ hôi",AT083
4men-vn,"Áo Sơ Mi Nam Regular Túi Mổ 4MEN ASM117 dài tay có túi, cổ bẻ truyền thống, chất vải mềm mại, co giãn, thoáng mát",ASM117
4men-vn,"Áo Sơ Mi Nam Regular Viền Gân 4MEN ASM121 ngắn tay cổ đứng thanh lịch, vải đũi xước thấm mồ hôi, thoáng mát",ASM121
4men-vn,"Quần Tây Nam Slimfit Basic Pocket 4MEN QT043 Trơn màu basic dễ mix đồ, form đứng tôn dáng, vải sợi tổng hợp thoáng mát",QT043
4men-vn,"Quần Tây Nam Slimfit Spike 4MEN QT050 ôm vừa vặn, tôn dáng, vải mềm mại, co giãn thoải mái, phong cách trẻ trυng",QT050
4men-vn,"Áo khoác Nam Regular Có Nón 4MEN AK041 khóa kéo, có nón, vải poly 2 da phối xi nhật trẻ trυng, cách nhiệt, bền đẹp",AK041
4men-vn,"Áo Thun Nam Regular Phối Màu 4MEN AT112 sọc ngang ngực trẻ trυng, cổ tròn tay ngắn basic, vải cotton co giãn 4 chiều",AT112
4men-vn,"Áo Sơ Mi Nam Regular Caro 2 Túi 4MEN ASM103 dài tay trẻ trυng, hiện đại, vải sợi tổng hợp bền màu, thấm mồ hôi tốt",ASM103
4men-vn,"Quần Tây Nam Form Slimfit Cropped Túi Nhỏ 4MEN QT048 vải nhung mềm mại, co giãn thoải mái, trẻ trυng, hiện đại",QT048
4men-vn,"Quần Tây Nam Regular Detail 4MEN QT047 trơn dáng đứng đẹp, vải polyester chống nhăn, thoáng mát, trẻ trυng",QT047
4men-vn,"Áo Sơ Mi Nam Regular Phối Màu 4MEN SM129 cổ bẻ dài tay, vải Poly, viscose,spandex mềm mịn, form đẹp, trẻ trυng",SM129
4men-vn,"Áo Sơ Mi Nam Denim Rã Tam Giác Form Regular 4MEN SM134 dài tay, vải mềm, thấm mồ hôi, thoáng mát, phong cách trẻ trυng",SM134
4men-vn,"Quần Tây Nam Regular Crop Trơn 4MEN QT035 suông dễ mặc, vải polyester co giãn tốt, bền màu, dáng đẹp",QT035
4men-vn,"Áo Sweater Nam Tay Dài Regular Túi Mổ 4MEN AS003 cổ tròn phong cách thu đông, vải mềm mại, giữ nhiệt tốt",AS003
4men-vn,"Áo khoác dù nam có nón 4MEN AK029 vải dù nhẹ bền, may 2 lớp dày dặn, họa tiết trẻ trυng, khóa kéo tiện dụng",AK029
4men-vn,"Quần Tây Nam Slimfit Đỉa Đôi 4MEN QT053 ôm vừa vặn, tôn dáng, vải mềm mại, co giãn thoải mái, phong cách trẻ trυng",QT053
4men-vn,"Áo Sơ Mi Nam Regular Abstract 4MEN ASM122 cổ bẻ, ngắn tay, họa tiết đặc trưng phong cách trẻ trυng, vải mềm, thoáng mát",ASM122
4men-vn,"Quần Tây Nam Slimfit Detail 4MEN QT051 ôm vừa vặn, tôn dáng, vải mềm mại, co giãn thoải mái, phong cách trẻ trυng",QT051
4men-vn,"Quần Tây Nam Slimfit Lưng Thun 4MEN QT038 trẻ trυng, thanh lịch, form dáng đứng đẹp, vải polytester mềm, co giãn tốt",QT038
4men-vn,"Áo Thun Nam Regular Sọc Dệt Kim 4MEN AT111 cổ tròn tay ngắn, phối màu trẻ trυng, vải mềm mại, giữ nhiệt tốt",AT111
